selected,ticker,fiscal_period,rank,score,link_text,candidate_url,landing_url,review_notes
,AIICO,2022-12-31,1,135,AIICO 2022 Annual Report,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_2022_Annual_Report.pdf,https://www.aiicoplc.com/index.php/about-us/investor-relations,
,AIICO,2023-12-31,1,135,AIICO Insurance 2023 Annual Report,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_Insurance_2023_Annual_Report.pdf,https://www.aiicoplc.com/index.php/about-us/investor-relations,
,AIICO,2023-12-31,2,135,Annual Report For The Year Ended 31 DECEMBER 2023,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_Insurance_Plc_YE2023_Final_AFS.pdf,https://www.aiicoplc.com/index.php/about-us/investor-relations,
,DANGCEM,2022-12-31,1,135,,https://www.dangotecement.com/wp-content/uploads/2023/04/DCP-2022-Annual-Report-UPDATED.pdf,https://www.dangotecement.com/investor-relations/,
,DANGCEM,2023-12-31,1,135,Dangote Cement 2023 Annual Report,https://www.dangotecement.com/wp-content/uploads/2024/04/DCP-Annual-Report_AR23_full.pdf,https://www.dangotecement.com/investor-relations/,
,GTCO,2023-12-31,1,135,Download Report,https://gtco-plc.files.svdcdn.com/production/annual-reports/2023-annual-report/2023-Annual-Report.pdf?dm=1716814519,https://www.gtcoplc.com/investor-relations/annual-reports,
,MTNN,2022-12-31,1,135,MTN-Nigeria-Annual-Report-2022,https://www.mtn.ng/wp-content/uploads/2023/07/MTN-Nigeria-Annual-Report-2022.pdf?x53449,https://www.mtn.ng/investors/annual-report/,
,MTNN,2023-12-31,1,135,MTN Nigeria 2023 Annual Report,https://www.mtn.ng/wp-content/uploads/2024/04/MTN-Nigeria-2023-Annual-Report.pdf?x53449,https://www.mtn.ng/investors/annual-report/,
